date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:02	313691/313691	---M--	200	added ('OK')	image/jpeg	etag:%22b5db7e34dc46b419cc71ddf5ad0b2166%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-1.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-1.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:02	41580/41580	---M--	200	added ('OK')	application/javascript	etag:%22fda144dcfd40601984d322c3ff373e6e%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/isotope.pkgd.min.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/isotope.pkgd.min.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:04	205675/205675	---M--	200	added ('OK')	image/jpeg	etag:%22c58f16c4c382afcfa21cb16f1b8e8d7d%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-4.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-4.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:09	86926/86926	---M--	200	added ('OK')	application/javascript	etag:%224b57cf46dc8cb95c4cca54afc85e9540%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.min.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.min.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:10	50997/50997	---M--	200	added ('OK')	application/javascript	etag:%225fd3f4a60bdfe392215f1b53cdd7bfa2%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/bootstrap.min.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/bootstrap.min.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:11	2771/2771	---M--	200	added ('OK')	application/javascript	etag:%22beec51e2922331d6e4ee814446627d3f%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.animatedheadline.min.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.animatedheadline.min.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:11	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%22f416f9031fef25ae25ba9756e3eb6978%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/owl.carousel.min.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/owl.carousel.min.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:12	9332/9332	---M--	200	added ('OK')	application/javascript	etag:%2263deb8d3382ffef2addd1a2644368d22%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.easypiechart.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.easypiechart.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:12	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%22ba6cf724c8bb1cf5b084e79ff230626e%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.magnific-popup.min.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.magnific-popup.min.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:13	5591/5591	---M--	200	added ('OK')	application/javascript	etag:%2242204872ae5f3cfcf83ead1cd5675f64%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/tilt.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/tilt.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:14	849/849	---M--	200	added ('OK')	application/javascript	etag:%229a3c58967165a574075922a7352a110a%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/main-demo.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/main-demo.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:14	8034/8034	---M--	200	added ('OK')	application/javascript	etag:%22821acca1b1bdb0697ebaa22ed0013ab6%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/main.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/main.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:15	22686/22686	---M--	200	added ('OK')	application/javascript	etag:%226e43fa0662003271b76f78e95af2461d%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.validation.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/jquery.validation.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:18	23365/23365	---M--	200	added ('OK')	application/javascript	etag:%22e8a762b82df114415738b52aa7db8f6b%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/particles.min.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/particles.min.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:26	150426/150426	---M--	200	added ('OK')	application/javascript	etag:%2274c6c582c6bc6e2f900aa0741c4e6aeb%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/simplebar.js	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/js/simplebar.js	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:47:29	72148/72148	---M--	200	added ('OK')	binary/octet-stream	etag:%22662c24d02ff1711bd01ec3868df8680b%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/fonts/fa-brands-400.woff2	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/fonts/fa-brands-400.woff2	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/font-awesome.css)
14:47:34	125320/125320	---M--	200	added ('OK')	binary/octet-stream	etag:%223186ebd2918491445ea391a4f74e8dd7%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/fonts/fa-brands-400.eot	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/fonts/fa-brands-400.eot	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/font-awesome.css)
14:47:38	660056/660056	---M--	200	added ('OK')	image/svg+xml	etag:%22e4fed0a589f7130c6ef834a029854646%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/fonts/fa-brands-400.svg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/fonts/fa-brands-400.svg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/font-awesome.css)
